Region,Product_Category,Warehouse_Type,Supplier_Type,Transportation_Mode,Demand_Level_Category,Inventory_Status,Demand_Units,Forecasted_Demand_Units,Inventory_Level_Units,Reorder_Point,Lead_Time_Days,Transportation_Cost_USD,Holding_Cost_USD,Stockout_Incidents,Order_Fulfillment_Time_Days,Supplier_Reliability_Score,Demand_Forecast_Accuracy,Inventory_Turnover_Ratio,Supply_Chain_Efficiency_Index,Inventory_Risk_Score,Logistics_Performance_Index
South,Electronics,Central,International,Road,High,Overstocked,2101,2111.0,2190.0,1873,16.74,2667.05,2775.21,1,7.56,87.26,99.52,0.96,86.86,20.26,75.6
West,FMCG,Local,Distributor,Sea,High,Stockout Risk,2191,2074.0,819.0,1400,22.89,6085.98,1220.88,3,11.73,95.5,94.66,2.68,78.61,35.03,62.74
North,Apparel,Regional,Local,Road,High,Stockout Risk,1501,1377.0,1170.0,819,8.66,3168.46,2247.04,3,5.96,89.77,91.74,1.28,81.92,21.96,78.53
North,FMCG,Local,Distributor,Road,Low,Optimal,1025,1116.0,751.0,699,12.43,1992.76,616.2,2,2.72,87.67,91.12,1.36,86.65,22.65,86.79
East,Home Goods,Central,Local,Sea,High,Stockout Risk,2037,2046.0,1248.0,1645,17.1,4579.33,2520.49,3,8.25,70.59,99.56,1.63,77.58,27.28,65.31
North,Industrial Supplies,Central,International,Air,Medium,Stockout Risk,849,908.0,647.0,742,14.77,3570.22,1268.01,3,6.85,91.98,93.05,1.31,82.05,27.55,76.59
North,Home Goods,Regional,Distributor,Road,Medium,Optimal,709,724.0,720.0,878,15.38,990.05,1156.5,1,6.62,74.25,97.88,0.98,83.98,19.56,77.01
West,FMCG,Central,Local,Road,Medium,Optimal,857,894.0,650.0,512,4.88,1312.17,756.49,2,4.28,83.33,95.68,1.32,85.6,13.27,83.76
West,Apparel,Central,Distributor,Road,High,Stockout Risk,987,1007.0,1000.0,658,8.62,923.15,712.86,3,3.7,90.17,97.97,0.99,86.47,19.43,87.76
South,FMCG,Central,Distributor,Road,Low,Stockout Risk,826,894.0,694.0,678,15.78,1913.71,1263.8,4,9.1,83.28,91.77,1.19,74.95,32.41,72.87
East,Industrial Supplies,Local,International,Sea,High,Optimal,1611,1183.0,1411.0,1365,27.53,2909.58,2349.97,0,10.78,82.86,73.43,1.14,75.64,38.16,67.35
North,Electronics,Local,Local,Road,Medium,Stockout Risk,1022,1003.0,1043.0,784,9.44,1255.46,663.47,4,4.36,85.48,98.14,0.98,82.47,23.52,84.36
East,Industrial Supplies,Local,Distributor,Sea,Medium,Stockout Risk,2024,2138.0,1084.0,1651,18.83,5517.3,908.93,3,11.57,92.15,94.37,1.87,77.83,31.08,63.22
North,FMCG,Local,International,Air,Low,Overstocked,732,859.0,842.0,783,20.83,2784.0,1262.78,0,9.0,91.88,82.65,0.87,82.9,27.77,73.87
South,FMCG,Local,Local,Air,Medium,Optimal,1751,2013.0,1248.0,1391,11.3,5345.24,2120.34,2,3.45,75.06,85.04,1.4,80.63,23.95,74.69
East,FMCG,Central,Local,Road,High,Optimal,2349,2013.0,2582.0,1179,7.22,2121.66,5786.46,1,5.34,85.53,85.7,0.91,83.82,16.27,80.64
North,Apparel,Central,International,Air,Low,Optimal,1036,1196.0,1282.0,840,5.98,2268.71,2669.44,1,1.44,80.31,84.56,0.81,86.01,15.49,86.57
South,FMCG,Local,Local,Road,Medium,Optimal,1436,1363.0,1247.0,1138,6.88,2532.26,1269.89,2,3.04,74.57,94.92,1.15,84.38,15.58,81.11
North,FMCG,Regional,Distributor,Road,High,Overstocked,2525,2452.0,4274.0,1406,4.95,4611.3,5326.06,2,5.9,84.54,97.11,0.59,84.78,12.77,74.13
East,Home Goods,Local,Distributor,Road,Low,Optimal,457,458.0,402.0,455,13.8,892.39,319.44,1,4.57,66.85,99.78,1.14,84.84,17.22,79.09
South,FMCG,Regional,Local,Road,Medium,Optimal,3158,3233.0,4243.0,2115,17.18,4931.22,7012.34,1,7.92,93.03,97.63,0.74,87.29,21.46,71.98
North,FMCG,Regional,International,Road,Medium,Stockout Risk,1110,1311.0,365.0,1093,20.64,2103.9,410.0,3,9.6,75.95,81.89,3.04,71.38,37.88,69.28
East,Home Goods,Regional,Local,Road,Low,Optimal,902,1096.0,883.0,942,5.45,1946.35,815.57,2,5.15,83.53,78.49,1.02,78.76,20.72,80.78
South,Home Goods,Regional,Distributor,Road,Low,Optimal,1245,1319.0,1272.0,983,6.59,2207.1,2427.16,2,3.34,88.42,94.06,0.98,87.24,15.63,85.33
North,FMCG,Local,Local,Road,Low,Overstocked,1098,1096.0,1512.0,1116,15.72,2530.77,1042.18,0,6.56,99.0,99.82,0.73,93.13,15.79,81.4
North,Industrial Supplies,Local,International,Sea,Medium,Overstocked,423,428.0,552.0,672,20.26,698.97,304.56,0,12.83,86.82,98.82,0.77,83.46,20.73,68.96
West,Industrial Supplies,Local,Local,Road,Low,Stockout Risk,651,630.0,639.0,590,13.43,1283.02,507.73,4,7.4,85.94,96.77,1.02,79.07,28.05,78.36
South,Home Goods,Regional,Local,Road,Low,Optimal,486,517.0,698.0,432,6.73,684.81,1330.55,2,4.97,85.55,93.62,0.7,84.74,15.95,84.32
North,FMCG,Local,International,Sea,Low,Overstocked,1050,1078.0,1539.0,1294,20.66,2031.5,1033.44,1,9.32,83.98,97.33,0.68,83.52,25.06,72.4
West,Home Goods,Regional,Local,Road,Low,Optimal,400,452.0,407.0,459,12.36,408.17,668.65,1,9.5,91.61,87.0,0.98,81.63,20.89,77.65
North,Industrial Supplies,Local,Local,Road,Medium,Optimal,762,691.0,705.0,510,9.08,744.9,1123.92,0,3.18,69.64,90.68,1.08,85.97,12.81,83.01
West,FMCG,Central,Distributor,Sea,Medium,Stockout Risk,1287,1487.0,978.0,1014,9.43,2797.97,1036.49,5,7.15,69.47,84.46,1.32,68.67,32.31,70.82
North,Home Goods,Local,Local,Sea,Medium,Optimal,1237,1209.0,1177.0,1145,15.25,3623.66,1950.79,1,8.76,69.33,97.74,1.05,80.56,19.49,65.87
West,FMCG,Regional,Local,Sea,Low,Optimal,993,920.0,719.0,763,11.88,2626.25,1349.67,0,7.91,92.16,92.65,1.38,87.56,14.82,76.46
West,Industrial Supplies,Local,International,Sea,Medium,Optimal,1206,1324.0,1199.0,891,18.8,2265.07,1942.15,0,10.75,66.28,90.22,1.01,77.4,22.71,63.75
North,Apparel,Central,Distributor,Sea,Low,Optimal,611,505.0,429.0,491,19.3,1359.2,387.7,1,14.59,73.18,82.65,1.42,70.41,29.57,59.99
West,Industrial Supplies,Local,Local,Road,High,Stockout Risk,194,150.0,151.0,205,9.5,236.85,185.56,3,3.52,91.11,77.32,1.28,79.65,28.57,89.81
North,Apparel,Central,Local,Sea,Medium,Stockout Risk,919,1094.0,850.0,863,12.7,1946.02,901.76,4,9.11,71.42,80.96,1.08,68.19,33.65,69.23
East,Home Goods,Local,International,Road,Low,Optimal,726,785.0,594.0,597,14.01,1588.35,359.99,1,6.35,90.75,91.87,1.22,86.27,20.59,81.28
East,FMCG,Regional,International,Road,Medium,Overstocked,1729,1818.0,2011.0,1555,21.61,3585.08,3651.14,2,12.01,83.97,94.85,0.86,77.74,30.34,63.84
North,Home Goods,Regional,Local,Road,High,Overstocked,2828,3001.0,4633.0,2697,15.88,6461.57,6129.23,1,8.81,74.8,93.88,0.61,80.53,21.66,61.61
South,FMCG,Local,Local,Road,High,Overstocked,2388,2447.0,3229.0,2300,15.09,4958.45,2411.77,0,6.38,77.75,97.53,0.74,87.19,16.08,70.42
South,Industrial Supplies,Central,Local,Road,Medium,Stockout Risk,645,688.0,644.0,632,13.82,821.87,1317.02,1,8.97,97.25,93.33,1.0,85.79,19.82,79.55
South,Apparel,Central,International,Sea,Low,Optimal,716,601.0,772.0,786,24.97,2238.12,672.43,1,13.98,67.8,83.94,0.93,70.13,34.73,57.8
West,Home Goods,Regional,Local,Road,High,Optimal,1662,1700.0,1673.0,1389,6.79,3974.72,1997.87,2,3.91,75.85,97.71,0.99,84.81,14.37,76.81
East,FMCG,Local,International,Road,Low,Optimal,564,536.0,503.0,468,13.66,1187.33,523.71,1,4.31,75.68,95.04,1.12,85.65,18.98,81.66
East,FMCG,Local,Local,Road,Medium,Optimal,1447,1313.0,1257.0,868,3.79,3380.79,2215.68,3,1.48,98.78,90.74,1.15,88.31,17.49,89.76
East,Electronics,Regional,International,Air,Medium,Optimal,1434,1490.0,1238.0,915,4.3,3511.66,845.76,1,1.0,86.39,96.09,1.16,92.01,9.2,86.74
North,Industrial Supplies,Central,Distributor,Road,High,Optimal,666,703.0,653.0,550,3.43,910.45,563.5,1,4.39,83.04,94.44,1.02,87.2,8.99,84.27
South,FMCG,Regional,Local,Sea,Low,Stockout Risk,840,840.0,776.0,650,19.12,1552.49,775.62,1,14.32,76.24,100.0,1.08,77.52,22.45,61.06
North,Apparel,Local,Distributor,Sea,Low,Optimal,389,291.0,348.0,471,22.76,1175.92,598.16,1,8.88,72.79,74.81,1.12,73.28,36.17,71.67
East,FMCG,Central,Local,Road,High,Optimal,2503,1984.0,3452.0,1360,7.63,4214.14,2975.45,1,6.82,92.04,79.26,0.73,81.71,19.26,75.35
South,FMCG,Central,International,Sea,Medium,Optimal,1762,1733.0,1669.0,1517,22.8,4869.25,1808.88,1,16.01,87.95,98.35,1.06,78.18,26.79,54.41
East,FMCG,Regional,International,Sea,Medium,Stockout Risk,1666,1528.0,1081.0,1198,30.0,3933.55,1524.41,1,17.16,85.52,91.72,1.54,74.1,36.65,53.29
East,Apparel,Regional,Distributor,Road,Low,Overstocked,949,944.0,1550.0,766,3.55,1956.63,1067.44,0,4.02,83.63,99.47,0.61,91.7,3.76,83.05
West,Apparel,Central,Distributor,Air,Medium,Optimal,942,1010.0,1379.0,651,1.0,3654.15,2454.36,1,1.0,92.82,92.78,0.68,92.46,7.22,88.37
North,Electronics,Local,Local,Road,Medium,Stockout Risk,907,827.0,723.0,751,12.7,1580.11,987.78,3,5.68,75.18,91.18,1.25,78.36,26.23,77.96
East,FMCG,Central,Distributor,Road,Medium,Optimal,1672,1994.0,1525.0,1259,16.43,3898.34,3232.44,4,7.33,89.91,80.74,1.1,74.52,37.47,74.34
West,Industrial Supplies,Central,Local,Road,Low,Optimal,704,663.0,527.0,613,8.16,923.92,824.73,2,4.71,98.24,94.18,1.34,88.37,17.16,88.16
East,FMCG,Central,Distributor,Sea,Medium,Optimal,2055,2127.0,2492.0,1243,7.93,3190.93,5080.15,1,6.99,77.08,96.5,0.82,83.83,12.66,72.62
East,FMCG,Regional,International,Road,High,Optimal,2333,2010.0,3089.0,1630,22.42,3827.42,2466.47,3,9.42,72.21,86.16,0.76,72.12,37.96,65.0
North,Apparel,Regional,Distributor,Road,High,Overstocked,1440,1470.0,1864.0,1079,15.62,1611.11,1214.63,0,7.3,76.6,97.92,0.77,86.12,16.45,75.09
South,FMCG,Regional,International,Sea,High,Stockout Risk,1976,1819.0,1353.0,1366,15.3,4406.02,2486.51,3,11.44,74.94,92.05,1.46,72.85,28.48,60.59
West,FMCG,Central,Local,Sea,Medium,Stockout Risk,891,914.0,641.0,1075,21.02,2072.73,994.01,3,11.99,74.86,97.42,1.39,74.16,32.05,64.24
South,FMCG,Central,Distributor,Road,Medium,Stockout Risk,2244,2067.0,2096.0,1554,16.19,5202.59,1943.4,5,5.75,75.35,92.11,1.07,74.21,36.01,70.46
South,Industrial Supplies,Regional,Distributor,Sea,High,Overstocked,1276,1100.0,2254.0,1183,20.47,3032.59,4210.11,0,14.85,93.04,86.21,0.57,78.58,25.99,62.01
North,FMCG,Local,Distributor,Road,High,Overstocked,979,1113.0,1602.0,997,11.56,1508.81,1474.77,0,2.71,88.58,86.31,0.61,89.64,17.03,88.07
East,Apparel,Local,Local,Road,Medium,Overstocked,893,888.0,1191.0,499,2.17,1605.53,1889.03,1,2.24,97.75,99.44,0.75,94.78,5.73,91.56
South,FMCG,Regional,Local,Air,Low,Optimal,1679,1673.0,1989.0,949,12.06,6698.65,1245.01,0,5.8,74.79,99.64,0.84,87.77,12.2,67.14
East,Apparel,Central,Distributor,Sea,Low,Optimal,680,636.0,657.0,525,16.6,1623.0,786.7,2,9.21,93.37,93.53,1.04,82.42,25.85,76.27
North,Industrial Supplies,Regional,International,Sea,Low,Optimal,1209,1181.0,1039.0,1342,27.56,1957.57,1527.55,3,17.47,63.74,97.68,1.16,65.99,38.49,50.18
North,Industrial Supplies,Local,International,Road,Medium,Stockout Risk,987,1000.0,1101.0,930,10.06,935.14,881.05,5,5.92,77.12,98.68,0.9,76.79,27.25,79.38
East,Industrial Supplies,Regional,Distributor,Air,Medium,Optimal,1113,960.0,1561.0,705,6.91,2511.23,1125.49,1,3.24,82.35,86.25,0.71,85.31,15.74,83.09
West,Electronics,Regional,Local,Road,Low,Optimal,958,1117.0,958.0,832,2.78,1859.59,1525.46,1,3.64,70.24,83.4,1.0,80.89,12.75,79.99
South,Apparel,Central,International,Sea,Low,Optimal,528,586.0,717.0,834,24.57,858.78,1031.35,2,17.57,85.43,89.02,0.74,70.5,35.63,58.73
North,FMCG,Regional,Distributor,Sea,High,Optimal,3073,2711.0,4171.0,2292,19.94,5755.92,2743.01,0,8.49,85.0,88.22,0.74,83.64,24.65,66.75
South,Apparel,Local,Local,Sea,Medium,Optimal,1711,1648.0,1238.0,1266,11.76,3145.92,1096.06,0,8.47,99.0,96.32,1.38,89.99,13.23,76.33
East,Industrial Supplies,Central,International,Sea,Medium,Optimal,1422,1429.0,1434.0,1433,16.02,1701.75,1981.74,2,8.57,68.9,99.51,0.99,79.04,22.88,70.05
East,Industrial Supplies,Regional,International,Road,Low,Optimal,691,695.0,693.0,644,25.31,554.4,966.2,2,11.79,63.87,99.42,1.0,74.53,32.21,64.45
West,Home Goods,Regional,Distributor,Road,High,Optimal,1088,1104.0,1597.0,642,4.89,1667.7,2307.87,1,3.27,94.04,98.53,0.68,92.5,8.81,88.26
North,Home Goods,Local,International,Road,High,Optimal,2202,2246.0,3067.0,2149,17.88,2798.14,5350.77,3,4.15,67.11,98.0,0.72,80.26,28.68,76.11
South,Apparel,Central,Local,Air,Low,Overstocked,742,705.0,930.0,502,10.16,2174.75,1978.75,1,6.61,69.26,95.01,0.8,81.74,15.49,73.11
West,Industrial Supplies,Central,International,Sea,High,Overstocked,1657,1670.0,2923.0,1192,13.61,3395.55,2894.44,1,10.79,90.73,99.22,0.57,84.4,17.26,68.69
West,FMCG,Regional,Distributor,Road,Low,Optimal,50,48.0,39.0,304,17.75,54.69,76.27,1,5.69,71.17,96.0,1.28,83.48,22.68,79.86
North,Industrial Supplies,Central,Local,Road,High,Optimal,1092,1096.0,1440.0,954,7.71,2357.13,1772.34,1,4.33,86.92,99.63,0.76,90.05,11.19,82.6
South,Apparel,Regional,International,Road,Medium,Optimal,754,761.0,612.0,589,15.32,1325.27,806.51,4,8.13,80.42,99.07,1.23,77.76,29.02,75.16
West,FMCG,Central,Distributor,Road,Medium,Overstocked,974,915.0,1174.0,605,10.85,1708.51,2419.55,0,4.02,94.69,93.94,0.83,92.53,13.27,86.87
North,FMCG,Local,International,Sea,Low,Optimal,657,730.0,623.0,705,11.03,2146.97,870.93,3,8.48,81.21,88.89,1.05,76.27,25.47,73.01
South,Apparel,Local,International,Sea,High,Stockout Risk,1758,1674.0,1877.0,1467,25.85,5170.53,1175.67,1,15.9,71.96,95.22,0.94,73.19,31.09,49.21
North,Home Goods,Regional,Local,Road,High,Overstocked,1202,1197.0,2056.0,817,7.66,1533.21,2450.32,1,5.69,88.99,99.58,0.58,89.19,11.16,82.18
North,Electronics,Local,International,Sea,Low,Overstocked,824,830.0,1064.0,660,26.31,1393.72,1597.87,0,9.42,77.93,99.27,0.77,84.81,26.6,71.69
East,FMCG,Regional,Local,Road,Low,Overstocked,849,932.0,1449.0,714,12.89,1093.82,1913.52,0,8.17,82.97,90.22,0.59,84.15,16.8,76.31
West,Home Goods,Local,Distributor,Air,Medium,Overstocked,989,1174.0,1574.0,880,2.65,4374.7,1172.92,0,1.0,82.78,81.29,0.63,88.15,10.13,83.89
South,Industrial Supplies,Local,Distributor,Sea,Medium,Optimal,740,804.0,735.0,672,12.28,1130.99,1305.38,1,10.82,71.47,91.35,1.01,76.8,19.07,67.49
West,Industrial Supplies,Regional,Local,Road,Low,Optimal,677,649.0,493.0,563,2.98,632.03,799.5,1,2.26,93.46,95.86,1.37,92.43,7.97,92.23
North,Apparel,Regional,Local,Air,Medium,Optimal,805,846.0,572.0,693,6.47,3794.26,908.4,0,2.34,94.5,94.91,1.41,94.5,8.51,85.91
West,FMCG,Regional,Local,Road,Medium,Overstocked,1879,1955.0,1906.0,1540,15.85,4482.77,3208.96,0,11.12,95.89,95.96,0.99,86.44,17.47,67.36
South,FMCG,Central,International,Road,High,Optimal,1973,2399.0,1728.0,1873,12.81,4174.7,3468.04,1,5.72,70.85,78.41,1.14,77.21,24.78,71.28
East,Home Goods,Central,International,Road,Medium,Overstocked,1371,1339.0,2574.0,1100,20.79,1900.43,4831.47,3,11.88,89.13,97.67,0.53,77.92,31.72,69.09
East,Home Goods,Local,Local,Sea,Medium,Optimal,1038,1000.0,1084.0,953,16.6,1950.21,1924.72,0,6.64,80.58,96.34,0.96,87.22,18.06,76.91
North,Apparel,Regional,Distributor,Road,Medium,Overstocked,1437,1668.0,1897.0,1142,15.85,2322.9,2314.42,1,8.02,90.45,83.92,0.76,81.74,25.61,76.34
West,Electronics,Central,Local,Sea,Low,Optimal,1107,1025.0,1386.0,865,14.06,3162.87,1283.18,3,10.26,85.99,92.59,0.8,76.98,27.02,68.81
West,Industrial Supplies,Regional,Distributor,Air,Medium,Stockout Risk,756,881.0,588.0,676,1.69,4034.59,518.34,4,1.0,72.5,83.47,1.29,77.45,21.64,81.5
North,Electronics,Regional,Local,Road,High,Overstocked,2592,3157.0,3253.0,1611,17.55,3987.6,3224.15,0,6.12,88.09,78.2,0.8,83.27,26.27,76.03
East,Apparel,Local,Local,Sea,Medium,Stockout Risk,875,893.0,797.0,646,11.01,2739.69,1316.23,3,5.58,72.27,97.94,1.1,80.1,21.83,74.92
East,Industrial Supplies,Central,Local,Road,Medium,Overstocked,717,621.0,1283.0,554,9.22,1052.9,1804.86,2,6.12,68.39,86.61,0.56,76.85,21.24,76.12
North,FMCG,Central,International,Sea,Low,Optimal,848,957.0,832.0,1318,30.0,2073.83,1371.1,1,17.8,71.4,87.15,1.02,68.33,38.47,51.58
North,Electronics,Regional,International,Road,Medium,Overstocked,1685,1793.0,3188.0,1390,24.31,2646.46,5434.36,1,12.83,77.57,93.59,0.53,77.1,30.21,62.2
East,Apparel,Central,International,Road,Medium,Overstocked,1145,1095.0,1452.0,1105,21.18,2124.82,2282.55,0,13.85,63.68,95.63,0.79,75.54,22.93,57.06
North,FMCG,Central,Local,Road,Medium,Optimal,1644,1526.0,1789.0,1361,11.09,3139.03,2570.17,3,4.7,79.99,92.82,0.92,81.12,23.96,78.18
South,FMCG,Regional,Distributor,Road,Low,Overstocked,766,848.0,1374.0,866,11.33,1294.46,1260.91,0,5.93,68.33,89.3,0.56,82.41,15.61,75.99
West,Electronics,Central,International,Sea,High,Overstocked,2037,1817.0,3387.0,1635,21.06,5142.21,4557.32,1,12.44,77.15,89.2,0.6,75.85,28.71,57.75
North,FMCG,Local,Local,Road,Medium,Optimal,69,63.0,58.0,272,11.94,59.1,91.72,0,7.07,99.0,91.3,1.19,89.64,15.42,85.44
North,Electronics,Central,Local,Sea,Low,Optimal,665,478.0,708.0,648,21.27,1604.87,748.04,0,15.35,68.16,71.88,0.94,66.85,32.52,56.47
South,FMCG,Local,Local,Road,High,Optimal,1849,2138.0,1399.0,1376,7.3,3157.95,1899.43,3,2.15,78.19,84.37,1.32,80.26,23.55,82.7
West,FMCG,Local,Local,Road,Medium,Stockout Risk,2054,1790.0,1515.0,1061,17.42,3999.88,1016.81,6,7.08,79.87,87.15,1.36,70.06,42.56,71.62
West,FMCG,Regional,International,Air,Medium,Optimal,2014,2249.0,2758.0,1570,4.35,11073.95,4668.83,2,1.0,83.13,88.33,0.73,86.25,15.68,70.29
West,Industrial Supplies,Local,Distributor,Road,Medium,Stockout Risk,1255,1117.0,1559.0,631,6.74,2122.1,2650.46,2,1.91,77.37,89.0,0.81,84.14,17.81,85.05
North,Apparel,Central,International,Road,Medium,Overstocked,1019,1107.0,1704.0,1241,17.57,1563.91,2341.03,0,10.17,64.02,91.36,0.6,77.81,21.02,65.67
West,Home Goods,Central,Distributor,Road,Medium,Optimal,1020,988.0,1143.0,588,8.04,1641.94,827.17,2,6.09,70.74,96.86,0.89,81.05,15.96,75.68
North,FMCG,Regional,Local,Road,Medium,Overstocked,1379,1242.0,2477.0,935,2.25,1334.25,2470.32,0,3.94,83.94,90.07,0.56,88.57,6.22,84.57
North,FMCG,Central,Distributor,Air,Low,Stockout Risk,794,873.0,801.0,693,5.91,2560.88,1132.48,4,2.72,89.88,90.05,0.99,82.38,23.22,86.29
North,FMCG,Regional,Local,Sea,Low,Stockout Risk,660,727.0,657.0,624,14.11,1930.06,1217.01,4,11.63,81.36,89.85,1.0,71.27,31.5,67.2
West,Apparel,Local,International,Sea,Low,Overstocked,895,845.0,1183.0,911,21.85,2717.41,823.86,1,8.91,61.2,94.41,0.76,77.21,27.42,64.98
North,Industrial Supplies,Regional,International,Road,Medium,Optimal,1143,1436.0,1442.0,1177,22.13,2511.62,1551.09,1,9.28,91.14,74.37,0.79,77.31,35.72,73.65
West,Industrial Supplies,Regional,International,Sea,Medium,Optimal,1276,1456.0,1298.0,1360,26.38,1431.42,892.17,1,10.7,68.23,85.89,0.98,74.2,35.36,66.14
West,Industrial Supplies,Regional,Local,Sea,Medium,Overstocked,1201,1002.0,1934.0,624,15.91,1561.79,2534.06,0,10.27,87.04,83.43,0.62,80.69,22.54,72.38
West,FMCG,Central,Local,Sea,Medium,Optimal,1997,2188.0,1429.0,1462,22.54,5393.67,1600.55,0,13.42,80.1,90.44,1.4,78.26,26.37,56.16
East,FMCG,Local,International,Air,Medium,Stockout Risk,2245,2052.0,1855.0,1985,14.89,8196.4,2049.15,5,5.25,83.39,91.4,1.21,76.48,35.0,67.75
South,FMCG,Central,Local,Road,Medium,Optimal,471,507.0,370.0,379,5.86,551.2,508.85,2,4.4,94.61,92.36,1.27,87.13,15.58,88.46
East,FMCG,Local,International,Sea,Medium,Stockout Risk,2463,2525.0,2390.0,1817,12.9,4014.43,3946.09,3,5.8,83.8,97.48,1.03,82.6,23.91,75.33
West,Industrial Supplies,Local,Local,Sea,Medium,Optimal,1394,1528.0,1869.0,999,17.72,3990.47,3074.86,2,7.22,85.39,90.39,0.75,81.32,28.23,73.02
East,Apparel,Regional,Distributor,Road,Medium,Optimal,1162,984.0,1587.0,885,4.06,2646.95,2822.91,3,3.03,69.92,84.68,0.73,77.42,20.19,79.5
East,Electronics,Central,International,Air,Medium,Optimal,1027,885.0,858.0,651,21.37,4268.55,1039.31,0,11.18,81.74,86.17,1.2,79.41,26.9,63.43
West,Apparel,Local,Local,Sea,High,Overstocked,613,725.0,967.0,964,22.54,1540.44,786.21,1,14.96,89.48,81.73,0.63,73.79,33.18,63.77
East,FMCG,Central,International,Road,Low,Stockout Risk,1072,815.0,888.0,718,12.21,1721.23,1713.36,1,8.08,79.93,76.03,1.21,76.29,25.13,74.3
South,Industrial Supplies,Regional,Distributor,Road,Low,Optimal,823,734.0,595.0,742,15.74,804.35,1002.28,2,10.01,68.81,89.19,1.38,73.96,26.73,68.98
West,Apparel,Regional,Distributor,Road,Low,Optimal,343,321.0,366.0,377,10.05,551.06,605.26,0,6.85,80.84,93.59,0.94,86.12,12.62,79.42
North,FMCG,Central,Distributor,Sea,High,Overstocked,2010,2166.0,3342.0,1332,16.34,3548.59,6278.2,1,9.5,93.91,92.24,0.6,84.04,22.78,71.92
South,Electronics,Local,International,Road,High,Stockout Risk,2436,2694.0,1184.0,1663,15.38,2278.7,996.49,5,5.77,86.99,89.41,2.06,76.16,36.28,79.9
North,FMCG,Regional,Distributor,Road,Low,Stockout Risk,624,615.0,219.0,486,4.34,1053.31,157.59,3,5.07,73.19,98.56,2.85,81.06,14.92,79.66
South,Home Goods,Regional,Local,Road,Medium,Overstocked,1588,1649.0,2145.0,1126,13.83,2026.05,3815.37,0,6.12,88.63,96.16,0.74,89.69,15.37,80.21
West,Industrial Supplies,Regional,Local,Road,Low,Stockout Risk,588,550.0,680.0,597,17.99,885.69,556.52,5,7.54,76.2,93.54,0.86,73.14,37.24,75.97
North,FMCG,Regional,International,Road,Medium,Optimal,1583,1729.0,1488.0,1339,18.2,1644.11,2585.11,0,12.66,85.98,90.78,1.06,80.61,21.89,67.11
South,Home Goods,Central,Local,Road,Medium,Stockout Risk,796,674.0,591.0,710,17.85,791.41,423.17,5,11.29,91.69,84.67,1.35,70.16,40.65,73.31
East,FMCG,Central,Distributor,Road,Medium,Optimal,1603,1729.0,1446.0,972,7.36,2717.09,2430.91,2,4.63,66.26,92.14,1.11,79.74,17.17,75.06
North,Electronics,Regional,Local,Sea,Medium,Overstocked,1314,1338.0,2012.0,1308,18.93,2185.21,2279.21,0,14.68,94.51,98.17,0.65,83.31,19.66,64.52
East,Electronics,Regional,Local,Road,Medium,Stockout Risk,232,197.0,172.0,241,9.64,414.05,219.93,4,4.63,82.17,84.91,1.35,76.74,29.01,84.54
East,Home Goods,Regional,Local,Air,High,Optimal,1635,1681.0,1398.0,1354,10.06,7827.55,2296.09,1,6.6,84.06,97.19,1.17,86.21,14.52,66.01
North,Industrial Supplies,Regional,Distributor,Air,Medium,Optimal,1632,1724.0,2327.0,1380,13.58,4378.63,1432.06,2,5.25,66.06,94.36,0.7,79.85,22.5,70.36
South,FMCG,Regional,Local,Sea,Low,Stockout Risk,951,958.0,985.0,806,11.76,2568.41,1794.85,3,9.28,90.18,99.26,0.97,81.34,22.05,73.24
East,FMCG,Regional,International,Road,Low,Optimal,763,829.0,854.0,480,9.65,1357.06,695.25,2,5.79,62.3,91.35,0.89,77.31,19.78,74.33
East,Industrial Supplies,Central,Local,Sea,High,Optimal,1498,1771.0,1824.0,1456,16.23,3821.11,3769.12,0,8.24,83.25,81.78,0.82,81.2,23.52,70.68
West,Apparel,Local,Distributor,Sea,Low,Overstocked,737,751.0,936.0,519,9.36,1431.77,940.38,0,4.8,69.43,98.1,0.79,86.89,10.12,78.3
West,Home Goods,Central,Local,Air,Medium,Optimal,328,295.0,349.0,383,16.75,1489.65,689.35,1,4.94,93.37,89.94,0.94,87.66,24.11,85.08
North,Electronics,Regional,Local,Sea,Medium,Stockout Risk,380,362.0,379.0,518,22.72,1251.81,376.74,2,9.0,68.66,95.26,1.0,77.06,31.28,70.04
South,Home Goods,Local,International,Sea,Medium,Stockout Risk,1026,902.0,1308.0,1087,30.0,1589.27,1211.25,5,10.84,91.26,87.91,0.78,71.63,51.5,72.45
North,Industrial Supplies,Regional,Local,Sea,High,Optimal,1468,1272.0,1566.0,932,12.19,3978.07,2306.93,0,7.25,73.3,86.65,0.94,81.4,17.53,69.35
South,FMCG,Regional,Local,Road,Low,Overstocked,775,853.0,1382.0,853,14.42,843.63,1724.64,0,6.32,93.18,89.94,0.56,88.45,18.45,83.59
North,FMCG,Regional,Local,Sea,Medium,Stockout Risk,2150,2615.0,2290.0,2064,20.63,3571.69,2374.14,4,14.4,99.0,78.37,0.94,68.89,42.61,63.6
West,FMCG,Central,International,Sea,Low,Optimal,1515,1481.0,1159.0,1258,22.97,4846.78,1199.8,1,15.16,92.3,97.76,1.31,79.91,27.2,57.46
East,Apparel,Local,International,Road,High,Optimal,1610,1656.0,1465.0,997,14.23,1817.36,1817.8,1,4.89,61.19,97.14,1.1,82.18,18.71,74.86
